Number		Purchase	Capacity	Charge			R/A
AA001		2011-07		1845		2012-11-17		2012-11-17
AA002		2011-07		1814		2012-12-09		2012-11-17
AA003		2011-04		1870		2012-11-18		2012-11-18
AA004		2011-07		1844		2012-12-09		2012-11-18
AA005		2011-07		1927		2012-11-18		2012-11-18
AA006		2011-07		1948		2012-11-18		2012-11-18
AA007		2011-07		1871		2012-11-18		2012-11-18
AA008		2011-07		1834		2012-11-18		2012-11-18
AA009		2011-04		1892		2012-11-18		2012-11-18
AA010		2011-04		1758		2012-12-03		2012-11-22
AA011		2011-07		1851		2012-11-22		2012-11-22
AA012		2011-07		1870		2012-12-09		2012-11-25
AA013		2011-07		1938		2012-11-25		2012-11-25
AA014		2011-07		1863		2012-11-25		2012-11-25
AA015		2011-07		1891		2012-11-25		2012-11-25
AA016		2011-04		1899		2012-11-26		2012-11-26
AA017		2011-04		1876		2012-11-26		2012-11-26
